арт.;материал верха;материал подошвы;материал подкладки;вид каблука;стиль;сезон;коллекция;цвет ;цвет код;параметры ;пол;материал стельки;высота каблука;тип каблука;длинная ручка;цвет фурнитуры
57140;лаковая кожа;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Розовый;#FFC0CB;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57141;лаковая кожа;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Черный;#000000;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57142;лаковая кожа;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Красный;#ED1C24;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57144;лаковая кожа;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Коричневый;#462B11;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57145;Нубук;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Зеленый;#007F0C;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57146;лаковая кожа;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Бежевый;#EED1B4;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57147;Замша;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Черный;#000000;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57148;Замша;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Синий;#232E68;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57149;Нубук;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Синий;#232E68;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57150;Замша;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Красный;#ED1C24;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57151;лаковая кожа;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Желтый;#FFF100;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57207;Кожа;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Золото;#CC9851;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57208;Кожа;Тунит;шевро;Высокий;Glam;Всесезонный;Весна-Лето 2016;Серый;#828282;;Женский;шевро;13-15 см;Каблук;Нет;Золото
57600;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Черный;#000000;21х13х6;Женский;;;;Нет;Светлое золото
57601;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Красный;#ED1C24;21х13х6;Женский;;;;Нет;Серебро
57602;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Бежевый;#EED1B4;21х13х6;Женский;;;;Нет;Серебро
57603;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Розовый;#FFC0CB;21х13х6;Женский;;;;Нет;Светлое золото
57604;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Голубой;#99FFFF;21х13х6;Женский;;;;Нет;Серебро
57605;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Красный;#ED1C24;21х13х6;Женский;;;;Нет;Светлое золото
57606;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Бежевый;#EED1B4;21х13х6;Женский;;;;Нет;Светлое золото
57607;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Белый;#FFFFFF;17х17х6;Женский;;;;Нет;Светлое золото
57608;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Голубой;#99FFFF;17х17х6;Женский;;;;Нет;Светлое золото
57609;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Черный;#000000;17х17х6;Женский;;;;Нет;Светлое золото
57610;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Бежевый;#EED1B4;17х17х6;Женский;;;;Нет;Светлое золото
57611;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Розовый;#FFC0CB;17х17х6;Женский;;;;Нет;Светлое золото
57612;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Голубой;#99FFFF;17х17х6;Женский;;;;Нет;Серебро
57613;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Розовый;#FFC0CB;17х17х6;Женский;;;;Нет;Светлое золото
57614;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Красный;#ED1C24;17х17х6;Женский;;;;Нет;Светлое золото
57615;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Бежевый;#EED1B4;17х17х6;Женский;;;;Нет;Светлое золото
57616;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Желтый;#FFF100;17х17х6;Женский;;;;Нет;Светлое золото
57617;лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Красный;#ED1C24;17х17х6;Женский;;;;Нет;Светлое золото
57618;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Розовый;#FFC0CB;19х12х3;Женский;;;;Нет;Светлое золото
57619;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Красный;#ED1C24;19х12х3;Женский;;;;Нет;Светлое золото
57620;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Синий;#232E68;19х12х3;Женский;;;;Нет;Серебро
57621;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Голубой;#99FFFF;19х12х3;Женский;;;;Нет;Светлое золото
57622;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Черный;#000000;19х12х3;Женский;;;;Нет;
57623;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Красный;#ED1C24;15,5х13х6;Женский;;;;Нет;Светлое золото
57624;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Голубой;#99FFFF;15,5х13х6;Женский;;;;Нет;Светлое золото
57625;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Оранжевый;#CC3300;15,5х13х6;Женский;;;;Нет;Светлое золото
57626;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Зеленый;#007F0C;15,5х13х6;Женский;;;;Нет;Светлое золото
57627;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Розовый;#FFC0CB;15,5х13х6;Женский;;;;Нет;Светлое золото
57628;кожа/лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Золото;#CC9851;15,5х13х6;Женский;;;;Нет;Светлое золото
57629;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Розовый;#FFC0CB;15,5х13х6;Женский;;;;Нет;Серебро
57630;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Розовый;#FFC0CB;15,5х13х6;Женский;;;;Нет;Светлое золото
57631;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Белый;#FFFFFF;15,5х13х6;Женский;;;;Нет;Светлое золото
57632;Кожа;;Текстиль;;Glam;;Весна-Лето 2016;Черный;#000000;15,5х13х6;Женский;;;;Нет;Светлое золото
57633;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Зеленый;#007F0C;19,5х14,5х7;Женский;;;;Нет;Светлое золото
57634;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Розовый;#FFC0CB;19,5х14,5х7;Женский;;;;Нет;Светлое золото
57635;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Голубой;#99FFFF;19,5х14,5х7;Женский;;;;Нет;Серебро
57636;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Голубой;#99FFFF;19,5х14,5х7;Женский;;;;Нет;Светлое золото
57637;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;19,5х14,5х7;Женский;;;;Нет;Светлое золото
57638;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Голубой;#99FFFF;25х22х10;Женский;;;;Нет;Светлое золото
57639;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;25х22х10;Женский;;;;Нет;Светлое золото
57640;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Синий;#232E68;25х22х10;Женский;;;;Нет;Светлое золото
57641;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Бежевый;#EED1B4;25х22х10;Женский;;;;Нет;Светлое золото
57642;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Красный;#ED1C24;34х25х19;Женский;;;;Да;Серебро
57643;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Черный;#000000;34х25х19;Женский;;;;Да;Серебро
57644;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Бежевый;#EED1B4;34х25х19;Женский;;;;Да;Серебро
57645;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Желтый;#FFF100;27х22х14;Женский;;;;Да;Серебро
57646;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;27х22х14;Женский;;;;Да;Серебро
57647;лаковая кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Бежевый;#EED1B4;27х22х14;Женский;;;;Да;Светлое золото
57648;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;27х22х14;Женский;;;;Да;Светлое золото
57649;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Голубой;#99FFFF;27х22х14;Женский;;;;Да;Серебро
57650;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Синий;#232E68;30х22х16;Женский;;;;Да;Серебро
57651;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;30х22х16;Женский;;;;Да;Серебро
57652;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Черный;#000000;30х22х16;Женский;;;;Да;Серебро
57653;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;22х14х3;Женский;;;;Нет;Серебро
57654;лаковая кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Розовый;#FFC0CB;22х14х4;Женский;;;;Нет;Светлое золото
57655;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Синий;#232E68;22х14х5;Женский;;;;Нет;Серебро
57656;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;22х14х6;Женский;;;;Нет;Светлое золото
57657;Кожа;;Текстиль;;Classic;;Весна-Лето 2016;Синий;#232E68;32х22х7,5;Женский;;;;Нет;Серебро
57658;Кожа;;Текстиль;;Classic;;Весна-Лето 2016;Бежевый;#EED1B4;32х22х7,5;Женский;;;;Нет;Серебро
57659;Кожа;;Текстиль;;Classic;;Весна-Лето 2016;Белый;#FFFFFF;32х22х7,5;Женский;;;;Нет;Серебро
57663;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Синий;#232E68;42х26х14;Женский;;;;Нет;Серебро
57664;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Черный;#000000;42х26х14;Женский;;;;Нет;Серебро
57665;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;42х26х14;Женский;;;;Нет;Серебро
57666;лаковая кожа;;Текстиль;;Classic;;Весна-Лето 2016;Бежевый;#EED1B4;35х24х12;Женский;;;;Да;Светлое золото
57668;кожа/лаковая кожа;;Текстиль;;Classic;;Весна-Лето 2016;Белый;#FFFFFF;35х24х12;Женский;;;;Да;Светлое золото
57670;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Белый;#FFFFFF;32х21х14;Женский;;;;Да;
57671;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Красный;#ED1C24;32х21х14;Женский;;;;Да;
57672;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Желтый;#FFF100;32х21х14;Женский;;;;Да;Светлое золото
57673;Кожа;;Текстиль;;Classic;;Весна-Лето 2016;Желтый;#FFF100;25х19х13;Женский;;;;Да;
57674;Кожа;;Текстиль;;Classic;;Весна-Лето 2016;Зеленый;#007F0C;25х19х13;Женский;;;;Да;
57675;Кожа;;Текстиль;;Classic;;Весна-Лето 2016;Белый;#FFFFFF;25х19х13;Женский;;;;Да;Светлое золото
57676;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Голубой;#99FFFF;25х19х13;Женский;;;;Да;Серебро
57677;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Зеленый;#007F0C;26х19х10;Женский;;;;Нет;Светлое золото
57678;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Бежевый;#EED1B4;26х19х10;Женский;;;;Нет;Светлое золото
57679;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Красный;#ED1C24;26х19х10;Женский;;;;Нет;Светлое золото
57680;Кожа;;иск.кожа;;Casual;;Весна-Лето 2016;Голубой;#99FFFF;26х19х10;Женский;;;;Нет;Светлое золото
57681;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Розовый;#FFC0CB;22х28х15;Женский;;;;Нет;Светлое золото
57682;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Черный;#000000;22х28х15;Женский;;;;Нет;Серебро
57683;Кожа;;Текстиль;;Casual;;Весна-Лето 2016;Голубой;#99FFFF;22х28х15;Женский;;;;Нет;Светлое золото
57700;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Черный;#000000;28х23х1;Женский;;;;Да;Светлое золото
57701;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Белый;#FFFFFF;28х23х1;Женский;;;;Да;Светлое золото
57702;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Голубой;#99FFFF;28х23х1;Женский;;;;Да;Светлое золото
57703;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Голубой;#99FFFF;19х23х5;Женский;;;;Да;Светлое золото
57705;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Синий;#232E68;19х23х5;Женский;;;;Да;Светлое золото
57706;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Красный;#ED1C24;19х23х5;Женский;;;;Да;Светлое золото
57707;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Бежевый;#EED1B4;28х19х12;Женский;;;;Да;Светлое золото
57708;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Оранжевый;#CC3300;28х19х12;Женский;;;;Да;Светлое золото
57709;искуственная кожа;;Текстиль;;Glam;;Весна-Лето 2016;Голубой;#99FFFF;28х19х12;Женский;;;;Да;Светлое золото
57710;искуственная кожа;;иск.кожа;;Glam;;Весна-Лето 2016;Розовый;#FFC0CB;25х16х3,5;Женский;;;;Да;Светлое золото
57711;искуственная кожа;;иск.кожа;;Glam;;Весна-Лето 2016;Красный;#ED1C24;25х16х3,5;Женский;;;;Да;Светлое золото
57712;искуственная кожа;;иск.кожа;;Glam;;Весна-Лето 2016;Бежевый;#EED1B4;25х16х3,5;Женский;;;;Да;Светлое золото
57717;искуственная лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Черный;#000000;22х16х5;Женский;;;;Да;Светлое золото
57718;искуственная лаковая кожа;;Текстиль;;Glam;;Весна-Лето 2016;Синий;#232E68;22х16х6;Женский;;;;Да;Серебро
