арт.;общий остаток;размер
57140;39;36:4,37:9,38:10,39:12,40:4
57141;13;36:3,37:4,39:5,40:1
57142;7;36:2,37:4,39:1
57144;34;36:4,37:11,38:7,39:8,40:4
57145;17;36:4,37:5,38:2,39:4,40:2
57146;20;37:4,38:5,39:9,40:2
57147;10;36:4,37:4,38:2
57148;10;37:9,40:1
57149;25;36:3,37:8,38:7,39:4,40:3
57150;10;37:3,38:2,39:5
57151;28;36:3,37:7,38:8,39:8,40:2
57207;20;36:1,37:8,38:2,39:7,40:2
57208;25;36:4,37:7,38:5,39:7,40:2
57600;0;
57601;2;
57602;0;
57603;0;
57604;5;
57605;4;
57606;0;
57607;46;
57608;28;
57609;44;
57610;48;
57611;43;
57612;43;
57613;42;
57614;13;
57615;8;
57616;0;
57617;26;
57618;0;
57619;42;
57620;44;
57621;0;
57622;0;
57623;37;
57624;6;
57625;32;
57626;46;
57627;6;
57628;11;
57629;44;
57630;57;
57631;4;
57632;6;
57633;8;
57634;20;
57635;43;
57636;37;
57637;43;
57638;14;
57639;8;
57640;21;
57641;21;
57642;28;
57643;20;
57644;10;
57645;40;
57646;29;
57647;24;
57648;28;
57649;9;
57650;37;
57651;28;
57652;32;
57653;25;
57654;4;
57655;41;
57656;15;
57657;65;
57658;33;
57659;38;
57663;35;
57664;39;
57665;12;
57666;3;
57668;1;
57670;45;
57671;32;
57672;39;
57673;38;
57674;29;
57675;61;
57676;20;
57677;28;
57678;15;
57679;39;
57680;34;
57681;33;
57682;19;
57683;32;
57700;88;
57701;69;
57702;71;
57703;51;
57705;49;
57706;69;
57707;42;
57708;70;
57709;54;
57710;17;
57711;14;
57712;3;
57717;1;
57718;10;
57719;29;
57720;19;
57721;0;
57722;13;
57723;69;
57724;77;
57725;42;
57726;10;
57727;38;
57728;30;
57729;16;
57730;57;
57731;32;
57732;35;
57733;13;
57734;38;
57735;77;
57736;80;
57737;79;
57738;51;
57739;38;
57740;29;
57741;47;
57742;64;
57743;73;
57744;56;
57745;69;
57746;75;
57747;74;
57748;92;
57749;67;
57750;77;
57751;61;
57752;79;
57755;0;
57759;0;
57760;27;
57761;34;
57762;8;
57763;15;
57764;38;
57765;53;
57766;44;
57767;0;
57768;1;
57769;10;
57780;61;
57781;6;
57782;18;
57783;28;
57784;57;
57785;49;
57786;53;
57787;43;
57788;13;
57789;12;
57790;33;
57791;38;
57792;58;
57793;29;
57794;62;
57795;53;
57796;68;
58004;26;39:2,40:7,42:4,43:10,44:3
58005;24;39:2,40:2,41:3,42:5,43:7,44:5
58006;7;39:2,40:1,42:3,44:1
58007;7;39:1,40:3,42:1,44:2
58009;48;39:6,40:10,41:5,42:6,43:16,44:5
58010;24;39:2,40:2,41:4,42:6,43:8,44:2
58011;40;39:7,40:6,41:4,42:6,43:12,44:5
58015;23;39:2,40:2,41:1,42:5,43:8,44:1,45:4
58016;33;39:1,40:5,41:1,42:10,43:7,44:6,45:3
58017;9;39:1,40:1,42:2,43:3,44:1,45:1
58020;34;39:2,40:5,41:4,42:7,43:8,44:5,45:3
58022;36;39:2,40:1,41:5,42:9,43:12,44:4,45:3
58033;10;42:3,43:3,44:2,45:2
58037;32;40:5,41:3,42:8,43:8,44:6,45:2
58038;17;41:1,42:3,43:8,44:3,45:2
58039;35;39:2,40:6,41:2,42:6,43:8,44:7,45:4
58040;26;39:2,40:2,41:3,42:3,43:7,44:7,45:2
58041;25;40:4,41:2,42:5,43:6,44:5,45:3
58042;28;40:3,41:4,42:5,43:8,44:5,45:3
58043;16;39:1,40:2,41:1,42:6,43:5,45:1
58044;20;39:2,40:3,41:1,42:4,43:5,44:3,45:2
58057;13;39:3,40:5,41:1,42:1,44:1,45:2
58058;20;39:1,40:3,41:1,42:3,43:5,44:3,45:4
58059;23;39:3,40:5,41:2,42:1,43:7,44:3,45:2
58061;18;39:2,40:1,41:1,42:3,43:4,44:3,45:4
58062;26;39:1,40:3,41:4,42:6,43:5,44:6,45:1
58063;50;39:3,40:7,41:4,42:13,43:14,44:6,45:3
58064;16;39:1,40:1,41:1,42:1,43:5,44:4,45:3
58066;11;40:2,41:2,42:1,43:3,44:3
58070;33;39:3,40:4,41:4,42:5,43:8,44:5,45:4
58071;27;39:3,40:4,41:2,42:3,43:12,44:3
58072;17;40:2,41:2,42:4,43:5,44:1,45:3
58073;10;40:1,42:2,43:3,44:2,45:2
58076;29;39:3,40:4,41:3,42:6,43:6,44:5,45:2
58077;38;39:1,40:4,41:3,42:9,43:11,44:7,45:3
58080;33;39:2,40:2,41:1,42:11,43:11,44:4,45:2
58081;42;39:2,40:6,41:8,42:9,43:9,44:5,45:3
58082;39;39:4,40:7,41:7,42:7,43:8,44:3,45:3
58083;58;39:4,40:8,41:7,42:14,43:16,44:5,45:4
58085;36;39:3,40:6,41:6,42:9,43:8,44:3,45:1
58088;43;39:4,40:5,41:4,42:14,43:11,44:3,45:2
58090;12;39:2,40:2,42:1,43:4,44:2,45:1
58091;23;39:2,40:5,41:1,42:5,43:8,44:2
58093;56;39:4,40:7,41:8,42:14,43:11,44:7,45:5
58094;57;39:4,40:6,41:9,42:13,43:15,44:6,45:4
58096;48;39:3,40:5,41:7,42:15,43:13,44:5
