арт.;наименование;первая цена;вторая цена;описание;похожие товары;комплекты;скидка в %;популярные;тип товара 
57140;Туфли женские Glam 57140;3580;3580;"Розовые туфли из лаковой кожи на высоком каблуке. Классические ""лодочки"" разбавят джинсовый образ и смягчат офисный дресс-код";57141,57142,57144,57146,57151,57147,57148,57150,57145,57149,57207,57208;57710;60;;Туфли
57141;Туфли женские Glam 57141;3580;2399;"Элегантные черные туфли из лаковой кожи на высоком каблуке. Классические ""лодочки"" разбавят джинсовый образ и смягчат офисный дресс-код";57140,57142,57144,57146,57151,57147,57148,57150,57145,57149,57207,57208;57757;0;57147;Туфли
57142;Туфли женские Glam 57142;3580;2399;Ярко-красные лаковые туфли на высоком каблуке. Гламурные лодочки обязательно станут центром внимания;57140,57141,57144,57146,57151,57147,57148,57150,57145,57149,57207,57208;57756;0;57150;Туфли
57144;Туфли женские Glam 57144;3580;3580;"Ярко-красные лаковые туфли ""мраморной"" расцветки на высоком каблуке. Гламурные лодочки обязательно станут центром внимания";57140,57141,57142,57146,57151,57147,57148,57150,57145,57149,57207,57208;57768;60;;Туфли
57145;Туфли женские Glam 57145;3580;3580;Модные туфли из нубука глубокого зеленого цвета на высоком каблуке. Оригинально смотрятся на ноге, визуально удлинняя фигуру;57140,57141,57142,57144,57146,57151,57147,57148,57150,57145,57207,57208;;60;;Туфли
57146;Туфли женские Glam 57146;3580;3580;Модные туфли из бежевой лаковой кожи на высоком каблуке. Оригинально смотрятся на ноге, визуально удлинняя фигуру;57140,57141,57142,57144,57151,57147,57148,57150,57145,57149,57207,57208;;60;;Туфли
57147;Туфли женские Glam 57147;3580;2399;Замшевые туфли на высоком каблуке. Данная модель допустима как в повседневной носке, так и на торжественных мероприятиях;57140,57141,57142,57144,57146,57151,57148,57150,57145,57149,57207,57208;57757;0;57141;Туфли
57148;Туфли женские Glam 57148;3580;2399;Ультрамариновые замшевые туфли на высоком каблуке. Они станут ярким акцентом в дневных и вечерних образах;57140,57141,57142,57144,57146,57151,57147,57150,57145,57149,57207,57208;;0;;Туфли
57149;Туфли женские Glam 57149;3580;3580;"Гламурные ""шпильки"" глубокого синего цвета из нубука. Самые стильные женщины выбирают именно эти туфли";57140,57141,57142,57144,57146,57151,57147,57148,57150,57145,57207,57208;;60;;Туфли
57150;Туфли женские Glam 57150;3580;3580;Ярко-красные замшевые туфли на высоком каблуке. Непременно станут центром внимания любого образа;57140,57141,57142,57144,57146,57151,57147,57148,57145,57149,57207,57208;57756;60;57142;Туфли
57151;Туфли женские Glam 57151;3580;3580;Ярко-желтые летние туфли на высоком каблуке. Оригинальная модель - участник показов дизайнеров Недель Моды;57140,57141,57142,57144,57146,57147,57148,57150,57145,57149,57207,57208;57645;60;;Туфли
57207;Туфли женские Glam 57207;3580;3580;"Необычные туфли из металлизированной кожи ""под золото"". Металлик, бесспорно, являются хитом сезона";57140,57141,57142,57144,57146,57151,57147,57148,57150,57145,57149,57208;57755;60;;Туфли
57208;Туфли женские Glam 57208;3580;3580;"Гламурные туфли из металлизированной кожи ""под серебро"". Металлик, бесспорно, являются хитом сезона";57140,57141,57142,57144,57146,57151,57147,57148,57150,57145,57149,57207;;60;;Туфли
57600;Сумка женская Glam 57600;2950;2950;Сумка из натуральной лаковой кожи средних размеров. Стеганная структура кожи, позолоченная фурнитура и ручка-цепочка придадут образу пикантности и загадочности;57601,57602,57603,57604,57605,57606;59435,59770,59514,59742,59785,59137;0;57619,57620,57622;Сумки
57601;Сумка женская Glam 57601;2950;2950;Сумка из натуральной лаковой кожи средних размеров. Стеганная структура кожи, посеребренная фурнитура и ручка-цепочка придадут образу пикантности и загадочности;57600,57602,57603,57604,57605,57606;59515,60161,59303,59428,59432,60005;30;57619,57620,57622,;Сумки
57602;Сумка женская Glam 57602;2950;2950;Сумка из натуральной лаковой кожи средних размеров. Стеганная структура кожи, посеребренная фурнитура и ручка-цепочка придадут образу пикантности и загадочности;57600,57601,57603,57604,57605,57606;59513,59771,59308,60039,60103,60319,60006;20;57619,57620,57622;Сумки
57603;Сумка женская Glam 57603;2950;2950;Оригинальная дамская сумочка из натуральной стеганной лаковой кожи на длинной ручке-цепочке. Нежно-пастельная расцветка - хит лета 2016;57600,57601,57602,57604,57605,57606;60160,60134,60138,60160,59959,59965;20;57619,57620,57622;Сумки
